one_enum_param	orig_enum	tidied_enum	orig_matched_dist	matched_pref_dist	matched_text	matchType	id	prefLabel
add_recov_method_enum	Dump Flood	Dump Flood	0.332	0.000	DUMP	PREF	http://stirdf.jst.go.jp/id/200907098752983755	dUMP
add_recov_method_enum	Gas Injection	Gas Injection	0.580	0.000	GAS	PREF	http://purl.bioontology.org/ontology/CSP/1244-3286	gas
add_recov_method_enum	Not Applicable	Not Applicable	0.000	0.118	NOT APPLICABLE	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123271	No Application Type
add_recov_method_enum	other;{timestamp}	other {timestamp}	0.146	1.000	TIMESTAMP	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#57680	57680
add_recov_method_enum	Polymer Addition	Polymer Addition	0.355	0.000	POLYMER	PREF	http://www.semanticweb.org/ontologies/2011/1/14/EMO.owl/EMO_00127	Polymer
add_recov_method_enum	Surfactant Addition	Surfactant Addition	0.165	0.243	SURFACTANT	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83486	Surface-Active Agent
add_recov_method_enum	Wag Immiscible Injection	Wag Immiscible Injection	0.764	0.000	WAG	PREF	http://purl.obolibrary.org/obo/RS_0000967	WAG
add_recov_method_enum	Water Injection	Water Injection	0.347	0.000	WATER	PREF	http://purl.bioontology.org/ontology/RCD/XM0ll	Water
arch_struc_enum	building	building	0.000	0.000	BUILDING	PREF	http://www.icn.ch/icnp#Building	Building
arch_struc_enum	home	home	0.000	0.000	HOME	PREF	http://www.semanticweb.org/philshields/ontologies/2015/4/untitled-ontology-59#Home	Home
arch_struc_enum	shed	shed						
assembly_qual_enum	Finished genome	Finished genome	0.000	0.040	FINISHED GENOME	SYN	http://purl.obolibrary.org/obo/SO_0001491	finished_genome
assembly_qual_enum	Genome fragment(s)	Genome fragment(s)	0.161	0.000	GENOME	PREF	http://purl.obolibrary.org/obo/IDO_0100156	genome
assembly_qual_enum	High-quality draft genome	High quality draft genome	0.122	0.143	HIGH QUALITY DRAFT	SYN	http://purl.obolibrary.org/obo/SO_0001487	high_quality_draft
assembly_qual_enum	Low-quality draft genome	Low quality draft genome	0.519	0.742	LOW	SYN	http://purl.jp/bio/11/meo/MEO_0001301	short
assembly_qual_enum	Medium-quality draft genome	Medium quality draft genome	0.123	0.000	MEDIUM QUALITY	PREF	http://www.limics.fr/ontologies/menelastop#medium_quality	medium quality
bin_param_enum	codon usage	codon usage	0.000	0.000	CODON USAGE	PREF	http://purl.bioontology.org/ontology/MESH/D000081183	Codon Usage
bin_param_enum	combination	combination	0.000	0.228	COMBINATION	SYN	http://purl.bioontology.org/ontology/SNOMEDCT/89780004	Combined
bin_param_enum	coverage	coverage	0.000	0.000	COVERAGE	PREF	http://www.semanticweb.org/vanessa/ontologies/2012/7/untitled-ontology-33#Coverage	Coverage
bin_param_enum	homology search	homology search	0.000	0.000	HOMOLOGY SEARCH	PREF	http://purl.jp/bio/4/id/201306013393746878	homology search
bin_param_enum	kmer	kmer						
bin_software_enum	combination	combination	0.000	0.228	COMBINATION	SYN	http://purl.bioontology.org/ontology/SNOMEDCT/89780004	Combined
bin_software_enum	concoct	concoct						
bin_software_enum	esom	esom						
bin_software_enum	groupm	groupm						
bin_software_enum	maxbin	maxbin						
bin_software_enum	metabat	metabat						
bin_software_enum	metawatt	metawatt						
bin_software_enum	other	other						
biol_stat_enum	breeder's line	breeder's line	0.122	0.000	BREEDER	PREF	http://purl.bioontology.org/ontology/HL7/C3687489	Breeder
biol_stat_enum	clonal selection	clonal selection	0.000	0.000	CLONAL SELECTION	PREF	http://purl.jp/bio/4/id/201106040430909629	Clonal selection
biol_stat_enum	hybrid	hybrid	0.000	0.000	HYBRID	PREF	http://mmisw.org/ont/Technology/ComputerNetworks/Hybrid	Hybrid
biol_stat_enum	inbred line	inbred line	0.000	0.000	INBRED LINE	PREF	http://purl.obolibrary.org/obo/FBcv_0000660	inbred line
biol_stat_enum	mutant	mutant	0.000	0.000	MUTANT	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#C0596988	mutant
biol_stat_enum	natural	natural	0.000	0.000	NATURAL	PREF	http://purl.bioontology.org/ontology/SNOMEDCT/510009	Natural
biol_stat_enum	semi-natural	semi natural	0.198	0.000	NATURAL	PREF	http://purl.bioontology.org/ontology/SNOMEDCT/510009	Natural
biol_stat_enum	wild	wild	0.000	0.000	WILD	PREF	http://neuromorpho.org/ontologies/NMOSp.owl#NMOSp_1284	Wild
biotic_relationship_enum	commensalism	commensalism	0.000	0.404	COMMENSALISM	SYN	http://purl.obolibrary.org/obo/GO_0044403	biological process involved in symbiotic interaction
biotic_relationship_enum	free living	free living	0.368	0.782	FREE	SYN	http://purl.obolibrary.org/obo/PATO_0002316	autogenous
biotic_relationship_enum	mutualism	mutualism	0.000	0.000	MUTUALISM	PREF	http://localhost/plosthes.2017-1#6863	Mutualism
biotic_relationship_enum	parasitism	parasitism	0.000	0.000	PARASITISM	PREF	http://purl.org/obo/owl/GO#GO_0072519	parasitism
biotic_relationship_enum	symbiotic	symbiotic	0.000	0.079	SYMBIOTIC	SYN	http://purl.jp/bio/11/meo/MEO_0000420	symbiotic microbe
build_docs_enum	building information model	building information model	0.253	0.000	BUILDING	PREF	http://www.icn.ch/icnp#Building	Building
build_docs_enum	commissioning report	commissioning report	0.118	0.000	COMMISSIONING	PREF	http://data.windenergy.dtu.dk/controlled-terminology/taxonomy-topics/Commissioning	Commissioning
build_docs_enum	complaint logs	complaint logs	0.136	0.000	COMPLAINT	PREF	http://purl.bioontology.org/ontology/LNC/LP156501-1	Complaint
build_docs_enum	contract administration	contract administration	0.173	0.000	CONTRACT	PREF	http://www.projecthalo.com/aura#Contract	Contract
build_docs_enum	cost estimate	cost estimate	0.270	0.055	COST	SYN	http://purl.obolibrary.org/obo/CCTO_000040	Costs
build_docs_enum	janitorial schedules or logs	janitorial schedules or logs	0.391	0.088	SCHEDULES	SYN	http://purl.bioontology.org/ontology/HL7/C1554217	schedules request
build_docs_enum	maintenance plans	maintenance plans	0.067	0.000	MAINTENANCE	PREF	http://purl.bioontology.org/ontology/MESH/D008283	Maintenance
build_docs_enum	schedule	schedule	0.000	0.000	SCHEDULE	PREF	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25211	Schedule
build_docs_enum	sections	sections						
build_docs_enum	shop drawings	shop drawings	0.355	0.000	SHOP	PREF	http://www.semanticweb.org/vanessa/ontologies/2012/7/untitled-ontology-33#Shop	Shop
build_docs_enum	submittals	submittals						
build_docs_enum	ventilation system	ventilation system	0.000	0.012	VENTILATION SYSTEM	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#25493	ventilation systems
build_docs_enum	windows	windows	0.000	1.000	WINDOWS	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#39408	39408
